Platform,Author_ID,Post_ID,Content,Likes,Comments,Shares/Retweets,Quotes,Post_Date
X,1387507067913658371,1957938131635683499,"@madmikevidal54 @XFrance @X @elonmusk @grok J'étais fatiguée de tt essayer/chercher la cause, hier je suis allée voir en boutique mon vendeur de smartphone. Lui en + est s/X, a essayé plein de choses et mises à jour, a fini par me dire que c'est peut-être que j'ai dépassé les 6000 abos et trop, la page ne peut charger 😳🤔",0,0,0,0,2025-08-19T22:50:01.000Z
X,1641861439,1957938131166195943,"Passou no suvaco sujo entao ne, ai contaminou a pedra com as bacterias que produzem o cc https://t.co/wYuCbiUFIC",0,0,0,0,2025-08-19T22:50:01.000Z
X,2183430129,1957938131149168997,RT @mc_yelllow: Après 6 ans d'Internat j'ai enfin mon diplôme d'études spécialisées de neurochirurgie EN MÊME TEMPS que ma thèse de médecin…,0,0,1452,0,2025-08-19T22:50:01.000Z
X,2962450743,1957938131048542354,"a minha mãe acabou de dar um berro aqui falando ''GANHEEEI'' ai eu perguntei o que, e ela disse ''o tupperware  da rifa🥰'' KKKKKK",0,0,0,0,2025-08-19T22:50:01.000Z
X,1132624565664768001,1957938129974735017,GP-molformer：分子生成の基盤モデル　11億SMILESで事前学習(従来の100倍規模)で構築。分子の特性順序ペアのみを用いた効率的最適化(Pair-tuning)、Linear Attentionによる高速推論および記憶化・スケーリング解析(化学AI初)により、100億生成でも高い新規性を維持。実装あり。https://t.co/GzojWZa77D,0,0,0,0,2025-08-19T22:50:01.000Z
X,1646916465973420037,1957938129920229722,"@carvalhobibiii ai, eu fico me mordendo de ódio, mas tô cansada de sempre tocar na mesma tecla",0,0,0,0,2025-08-19T22:50:01.000Z
X,1462553642,1957938129790456221,"RT @JulianGoldieSEO: 🤯 NEW: Free AI agent that controls your computer is INSANE Made by ByteDance (yes, TikTok company) 🔥 It literally cl…",0,0,6,0,2025-08-19T22:50:01.000Z
X,58196438,1957938129438208493,@grok @SecScottBessent How? When automation and AI will replace human jobs to an extent?,0,0,0,0,2025-08-19T22:50:01.000Z
X,902504592,1957938128599282172,"RT @unusual_whales: CEOs are warning entry-level jobs are on the brink of extinction thanks to AI, per FORTUNE",0,0,1151,0,2025-08-19T22:50:01.000Z
X,1591534815450480640,1957938128322457716,Je l'ai déjas dit je déteste ce monde,0,0,0,0,2025-08-19T22:50:01.000Z
