Content,Likes,Comments,Shares,Engagement_Score,Post_DateTime,Platform,Author/User ID,Video_ID
LLM from Scratch Tutorial – Code & Train Qwen 3,890,29,0,919,2025-08-19 13:58:10,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,Jaj_SQsF-BI
From drop-out to backpacker to self-taught developer with Dominick Monaco [Podcast #183],240,13,0,253,2025-08-15 13:00:06,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,16emGG-guIo
Next.js Caching & Rendering Tutorial – Full Course for Beginners,1611,140,0,1751,2025-08-13 15:53:12,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,qYk_BqGHXEg
DevSecOps Course for Beginners – API Security,1232,23,0,1255,2025-08-12 13:48:57,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,JfiWi8RjN-8
Abandoning med school to become a software engineer with Edidiong Asikpo [Podcast #182],442,45,0,487,2025-08-08 13:00:45,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,N0K0m7dZBJI
Time Series Forecasting in Python – Tutorial for Beginners,1183,31,0,1214,2025-08-07 14:14:44,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,fxx_E0ojKrc
Google Cloud Associate Cloud Engineer Course [2025] - Pass the Exam!,1079,63,0,1142,2025-08-05 14:16:26,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,OlAmyf8_4O4
React Course for Beginners w/ Tailwind CSS [2025],1889,81,0,1970,2025-08-04 13:56:59,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,IJ85kCdqWao
Senior Playstation Engineer's tips for learning new tools and getting things done [Podcast #184],519,32,0,551,2025-08-01 13:30:09,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,C7UI_4jIGSQ
Why Algorithms Work – Algorithm Analysis Deep Dive Course,1902,51,0,1953,2025-07-30 14:33:21,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,ku6HZ_k9qgY
Technical Writing Course for Beginners,1964,47,0,2011,2025-07-29 14:49:00,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,vT5pcc30Ffw
How to turn Open Source into a Job with Nick Taylor [Podcast #181],452,17,0,469,2025-07-25 13:01:36,YouTube,UC8butISFwT-Wl7EV0hUK0BQ,m7nkioXNiik
